[Measurement conditions]
Sample identification,501023
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,26/Feb/2025 10:39
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.002000000,49.999928040
Scan step size,0.0108664
No. of points, 4141
Scan type,CONTINUOUS
Time per step,23.970
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007433220, 23.970, 747.0, 27.3313
5.018299660, 23.970, 716.0, 26.7582
5.029166100, 23.970, 791.0, 28.1247
5.040032540, 23.970, 726.0, 26.9444
5.050898980, 23.970, 804.0, 28.3549
5.061765420, 23.970, 779.0, 27.9106
5.072631860, 23.970, 820.0, 28.6356
5.083498300, 23.970, 814.0, 28.5307
5.094364740, 23.970, 790.0, 28.1069
5.105231180, 23.970, 808.0, 28.4253
5.116097620, 23.970, 812.0, 28.4956
5.126964060, 23.970, 760.0, 27.5681
5.137830500, 23.970, 796.0, 28.2135
5.148696940, 23.970, 739.0, 27.1846
5.159563380, 23.970, 771.0, 27.7669
5.170429820, 23.970, 847.0, 29.1033
5.181296260, 23.970, 825.0, 28.7228
5.192162700, 23.970, 748.0, 27.3496
5.203029140, 23.970, 754.0, 27.4591
5.213895580, 23.970, 794.0, 28.1780
5.224762020, 23.970, 770.0, 27.7489
5.235628460, 23.970, 829.0, 28.7924
5.246494900, 23.970, 769.0, 27.7308
5.257361340, 23.970, 811.0, 28.4781
5.268227780, 23.970, 815.0, 28.5482
5.279094220, 23.970, 731.0, 27.0370
5.289960660, 23.970, 851.0, 29.1719
5.300827100, 23.970, 765.0, 27.6586
5.311693540, 23.970, 760.0, 27.5681
5.322559980, 23.970, 800.0, 28.2843
5.333426420, 23.970, 809.0, 28.4429
5.344292860, 23.970, 783.0, 27.9821
5.355159300, 23.970, 810.0, 28.4605
5.366025740, 23.970, 799.0, 28.2666
5.376892180, 23.970, 794.0, 28.1780
5.387758620, 23.970, 739.0, 27.1846
5.398625060, 23.970, 758.0, 27.5318
5.409491500, 23.970, 786.0, 28.0357
5.420357940, 23.970, 794.0, 28.1780
5.431224380, 23.970, 804.0, 28.3549
5.442090820, 23.970, 761.0, 27.5862
5.452957260, 23.970, 785.0, 28.0179
5.463823700, 23.970, 812.0, 28.4956
5.474690140, 23.970, 812.0, 28.4956
5.485556580, 23.970, 821.0, 28.6531
5.496423020, 23.970, 809.0, 28.4429
5.507289460, 23.970, 760.0, 27.5681
5.518155900, 23.970, 803.0, 28.3373
5.529022340, 23.970, 782.0, 27.9643
5.539888780, 23.970, 844.0, 29.0517
5.550755220, 23.970, 811.0, 28.4781
