Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.0,0.1077,0.0,30.0,45.916,0.0,1.0,0.1077, 
0.166667,0.6136,0.0,30.0,45.708,0.0,1.0,0.6136, 
0.333333,0.7003,0.0,30.0,45.52,0.0,1.0,0.7003, 
0.5,0.7114,0.0,30.0,45.362,0.0,1.0,0.7114, 
0.666667,0.709,0.0,30.0,45.22,0.0,1.0,0.709, 
0.833333,0.706,0.0,30.0,45.095,0.0,1.0,0.706, 
1.0,0.7024,0.0,30.0,44.979,0.0,1.0,0.7024, 
1.166667,0.6996,0.0,30.0,44.887,0.0,1.0,0.6996, 
1.333333,0.6966,0.0,30.0,44.8,0.0,1.0,0.6966, 
1.5,0.695,0.0,30.0,44.72,0.0,1.0,0.695, 
1.666667,0.6928,0.0,30.0,44.654,0.0,1.0,0.6928, 
1.833333,0.691,0.0,30.0,44.604,0.0,1.0,0.691, 
2.0,0.6899,0.0,30.0,44.55,0.0,1.0,0.6899, 
2.166667,0.6884,0.0,30.0,44.504,0.0,1.0,0.6884, 
2.333333,0.6869,0.0,30.0,44.462,0.0,1.0,0.6869, 
2.5,0.686,0.0,30.0,44.425,0.0,1.0,0.686, 
2.666667,0.685,0.0,30.0,44.395,0.0,1.0,0.685, 
2.833333,0.6844,0.0,30.0,44.37,0.0,1.0,0.6844, 
3.0,0.6832,0.0,30.0,44.341,0.0,1.0,0.6832, 
3.166667,0.6828,0.0,30.0,44.325,0.0,1.0,0.6828, 
3.333333,0.6821,0.0,30.0,44.308,0.0,1.0,0.6821, 
3.5,0.6819,0.0,30.0,44.291,0.0,1.0,0.6819, 
3.666667,0.6811,0.0,30.0,44.279,0.0,1.0,0.6811, 
3.833333,0.6805,0.0,30.0,44.266,0.0,1.0,0.6805, 
4.0,0.6801,0.0,30.0,44.258,0.0,1.0,0.6801, 
4.166667,0.6798,0.0,30.0,44.245,0.0,1.0,0.6798, 
4.333333,0.6791,0.0,30.0,44.237,0.0,1.0,0.6791, 
4.5,0.6791,0.0,30.0,44.225,0.0,1.0,0.6791, 
4.666667,0.6789,0.0,30.0,44.22,0.0,1.0,0.6789, 
4.833333,0.6785,0.0,30.0,44.216,0.0,1.0,0.6785, 
5.0,0.6785,0.0,30.0,44.208,0.0,1.0,0.6785, 
5.166667,0.7267,0.0,31.591,44.204,0.0,1.0,0.7267, 
5.333333,0.7763,0.0,33.254,44.204,0.0,1.0,0.7763, 
5.5,0.826,0.0,34.92,44.2,0.0,1.0,0.826, 
5.666667,0.8763,0.0,36.583,44.2,0.0,1.0,0.8763, 
5.833333,0.9259,0.0,38.245,44.191,0.0,1.0,0.9259, 
6.0,0.976,0.0,39.912,44.191,0.0,1.0,0.976, 
6.166667,1.0262,0.0,41.575,44.187,0.0,1.0,1.0262, 
6.333333,-1.5604,0.0,43.237,44.55,0.0,1.0,-1.5604, 
6.5,0.1302,0.0,44.904,46.108,0.0,1.0,0.1302, 
6.666667,0.4588,0.0,46.566,47.741,0.0,1.0,0.4588, 
6.833333,0.5334,0.0,48.229,49.383,0.0,1.0,0.5334, 
7.0,0.5833,0.0,49.895,51.029,0.0,1.0,0.5833, 
7.166667,0.6294,0.0,51.558,52.67,0.0,1.0,0.6294, 
7.333333,0.6761,0.0,53.22,54.316,0.0,1.0,0.6761, 
7.5,0.7213,0.0,54.887,55.966,0.0,1.0,0.7213, 
7.666667,0.7674,0.0,56.55,57.612,0.0,1.0,0.7674, 
7.833333,0.8138,0.0,58.212,59.262,0.0,1.0,0.8138, 
8.0,0.8596,0.0,59.879,60.908,0.0,1.0,0.8596, 
8.166667,0.9061,0.0,61.541,62.562,0.0,1.0,0.9061, 
8.333333,0.9511,0.0,63.204,64.212,0.0,1.0,0.9511, 
8.5,0.9979,0.0,64.87,65.866,0.0,1.0,0.9979, 
8.666667,1.044,0.0,66.533,67.525,0.0,1.0,1.044, 
8.833333,1.0905,0.0,68.195,69.175,0.0,1.0,1.0905, 
9.0,1.1357,0.0,69.862,70.833,0.0,1.0,1.1357, 
9.166667,1.1821,0.0,71.525,72.487,0.0,1.0,1.1821, 
9.333333,1.2291,0.0,73.191,74.15,0.0,1.0,1.2291, 
9.5,1.2729,0.0,74.854,75.804,0.0,1.0,1.2729, 
9.666667,1.3141,0.0,76.516,77.462,0.0,1.0,1.3141, 
9.833333,1.3649,0.0,78.183,79.12,0.0,1.0,1.3649, 
10.0,1.4108,0.0,79.845,80.779,0.0,1.0,1.4108, 
10.166667,1.4571,0.0,81.508,82.441,0.0,1.0,1.4571, 
10.333333,1.5052,0.0,83.175,84.104,0.0,1.0,1.5052, 
10.5,1.552,0.0,84.837,85.762,0.0,1.0,1.552, 
10.666667,1.5975,0.0,86.5,87.416,0.0,1.0,1.5975, 
10.833333,1.6438,0.0,88.166,89.062,0.0,1.0,1.6438, 
11.0,1.6901,0.0,89.829,90.716,0.0,1.0,1.6901, 
11.166667,1.738,0.0,91.491,92.379,0.0,1.0,1.738, 
11.333333,1.7897,0.0,93.158,94.037,0.0,1.0,1.7897, 
11.5,1.8387,0.0,94.82,95.695,0.0,1.0,1.8387, 
11.666667,1.8781,0.0,96.483,97.345,0.0,1.0,1.8781, 
11.833333,1.9363,0.0,98.15,99.004,0.0,1.0,1.9363, 
12.0,1.9889,0.0,99.812,100.666,0.0,1.0,1.9889, 
12.166667,2.0371,0.0,101.475,102.32,0.0,1.0,2.0371, 
12.333333,2.0869,0.0,103.141,103.979,0.0,1.0,2.0869, 
12.5,2.1435,0.0,104.804,105.637,0.0,1.0,2.1435, 
12.666667,2.1862,0.0,106.466,107.295,0.0,1.0,2.1862, 
12.833333,2.2419,0.0,108.133,108.95,0.0,1.0,2.2419, 
13.0,2.2966,0.0,109.795,110.612,0.0,1.0,2.2966, 
13.166667,2.3503,0.0,111.458,112.275,0.0,1.0,2.3503, 
13.333333,2.3999,0.0,113.125,113.929,0.0,1.0,2.3999, 
13.5,2.4547,0.0,114.787,115.587,0.0,1.0,2.4547, 
13.666667,2.5022,0.0,116.45,117.25,0.0,1.0,2.5022, 
13.833333,2.5572,0.0,118.116,118.904,0.0,1.0,2.5572, 
14.0,2.6109,0.0,119.779,120.566,0.0,1.0,2.6109, 
14.166667,2.6611,0.0,121.441,122.225,0.0,1.0,2.6611, 
14.333333,2.7128,0.0,123.108,123.887,0.0,1.0,2.7128, 
14.5,2.7666,0.0,124.77,125.545,0.0,1.0,2.7666, 
14.666667,2.818,0.0,126.437,127.208,0.0,1.0,2.818, 
14.833333,2.8765,0.0,128.1,128.875,0.0,1.0,2.8765, 
15.0,2.9259,0.0,129.762,130.533,0.0,1.0,2.9259, 
15.166667,2.9859,0.0,131.429,132.2,0.0,1.0,2.9859, 
15.333333,3.0403,0.0,133.091,133.858,0.0,1.0,3.0403, 
15.5,3.0973,0.0,134.754,135.52,0.0,1.0,3.0973, 
15.666667,3.1522,0.0,136.42,137.183,0.0,1.0,3.1522, 
15.833333,3.2076,0.0,138.083,138.854,0.0,1.0,3.2076, 
16.0,3.2644,0.0,139.745,140.512,0.0,1.0,3.2644, 
16.166667,3.3219,0.0,141.412,142.17,0.0,1.0,3.3219, 
16.333333,3.3781,0.0,143.075,143.833,0.0,1.0,3.3781, 
16.5,3.4366,0.0,144.737,145.487,0.0,1.0,3.4366, 
16.666667,3.4914,0.0,146.404,147.15,0.0,1.0,3.4914, 
16.833333,3.5498,0.0,148.066,148.808,0.0,1.0,3.5498, 
17.0,3.5879,0.0,149.729,150.47,0.0,1.0,3.5879, 
17.166667,3.666,0.0,151.395,152.129,0.0,1.0,3.666, 
17.333333,3.7217,0.0,153.058,153.787,0.0,1.0,3.7217, 
17.5,3.7782,0.0,154.72,155.445,0.0,1.0,3.7782, 
17.666667,3.8332,0.0,156.387,157.112,0.0,1.0,3.8332, 
17.833333,3.8873,0.0,158.05,158.775,0.0,1.0,3.8873, 
18.0,3.9443,0.0,159.712,160.437,0.0,1.0,3.9443, 
18.166667,4.0051,0.0,161.379,162.095,0.0,1.0,4.0051, 
18.333333,4.0683,0.0,163.041,163.758,0.0,1.0,4.0683, 
18.5,4.1295,0.0,164.704,165.42,0.0,1.0,4.1295, 
18.666667,4.1926,0.0,166.37,167.083,0.0,1.0,4.1926, 
18.833333,4.2528,0.0,168.033,168.75,0.0,1.0,4.2528, 
19.0,4.3043,0.0,169.695,170.408,0.0,1.0,4.3043, 
19.166667,4.3587,0.0,171.362,172.075,0.0,1.0,4.3587, 
19.333333,4.4373,0.0,173.025,173.733,0.0,1.0,4.4373, 
19.5,4.5071,0.0,174.687,175.395,0.0,1.0,4.5071, 
19.666667,4.57,0.0,176.354,177.062,0.0,1.0,4.57, 
19.833333,4.6302,0.0,178.016,178.716,0.0,1.0,4.6302, 
20.0,4.6871,0.0,179.683,180.383,0.0,1.0,4.6871, 
20.166667,4.7632,0.0,181.345,182.037,0.0,1.0,4.7632, 
20.333333,4.8276,0.0,183.008,183.708,0.0,1.0,4.8276, 
20.5,4.8943,0.0,184.675,185.37,0.0,1.0,4.8943, 
20.666667,4.961,0.0,186.337,187.037,0.0,1.0,4.961, 
20.833333,5.0293,0.0,188.0,188.695,0.0,1.0,5.0293, 
21.0,5.0951,0.0,189.666,190.362,0.0,1.0,5.0951, 
21.166667,5.165,0.0,191.329,192.025,0.0,1.0,5.165, 
21.333333,5.2341,0.0,192.991,193.687,0.0,1.0,5.2341, 
21.5,5.3036,0.0,194.658,195.354,0.0,1.0,5.3036, 
21.666667,5.3754,0.0,196.32,197.016,0.0,1.0,5.3754, 
21.833333,5.4473,0.0,197.983,198.675,0.0,1.0,5.4473, 
22.0,5.5185,0.0,199.65,200.329,0.0,1.0,5.5185, 
22.166667,5.5927,0.0,201.312,201.991,0.0,1.0,5.5927, 
22.333333,5.6633,0.0,202.975,203.654,0.0,1.0,5.6633, 
22.5,5.7383,0.0,204.641,205.312,0.0,1.0,5.7383, 
22.666667,5.8136,0.0,206.304,206.975,0.0,1.0,5.8136, 
22.833333,5.8883,0.0,207.966,208.633,0.0,1.0,5.8883, 
23.0,5.9651,0.0,209.633,210.295,0.0,1.0,5.9651, 
23.166667,6.0433,0.0,211.295,211.958,0.0,1.0,6.0433, 
23.333333,6.1179,0.0,212.958,213.625,0.0,1.0,6.1179, 
23.5,6.1963,0.0,214.625,215.283,0.0,1.0,6.1963, 
23.666667,6.2753,0.0,216.287,216.945,0.0,1.0,6.2753, 
23.833333,6.3555,0.0,217.95,218.604,0.0,1.0,6.3555, 
24.0,6.4368,0.0,219.616,220.266,0.0,1.0,6.4368, 
24.166667,6.5121,0.0,221.279,221.933,0.0,1.0,6.5121, 
24.333333,6.592,0.0,222.941,223.591,0.0,1.0,6.592, 
24.5,6.6722,0.0,224.608,225.254,0.0,1.0,6.6722, 
24.666667,6.7575,0.0,226.27,226.912,0.0,1.0,6.7575, 
24.833333,6.8348,0.0,227.933,228.583,0.0,1.0,6.8348, 
25.0,6.9202,0.0,229.6,230.241,0.0,1.0,6.9202, 
25.166667,7.0016,0.0,231.262,231.912,0.0,1.0,7.0016, 
25.333333,7.0849,0.0,232.929,233.57,0.0,1.0,7.0849, 
25.5,7.1684,0.0,234.591,235.237,0.0,1.0,7.1684, 
25.666667,7.2511,0.0,236.254,236.904,0.0,1.0,7.2511, 
25.833333,7.3368,0.0,237.92,238.562,0.0,1.0,7.3368, 
26.0,7.4226,0.0,239.583,240.233,0.0,1.0,7.4226, 
26.166667,7.5059,0.0,241.245,241.891,0.0,1.0,7.5059, 
26.333333,7.5903,0.0,242.912,243.566,0.0,1.0,7.5903, 
26.5,7.6761,0.0,244.575,245.225,0.0,1.0,7.6761, 
26.666667,7.7627,0.0,246.237,246.891,0.0,1.0,7.7627, 
26.833333,7.8506,0.0,247.904,248.55,0.0,1.0,7.8506, 
27.0,7.9352,0.0,249.566,250.22,0.0,1.0,7.9352, 
27.166667,8.0232,0.0,251.229,251.879,0.0,1.0,8.0232, 
27.333333,8.1101,0.0,252.895,253.537,0.0,1.0,8.1101, 
27.5,8.2003,0.0,254.558,255.195,0.0,1.0,8.2003, 
27.666667,8.2906,0.0,256.22,256.854,0.0,1.0,8.2906, 
27.833333,8.379,0.0,257.887,258.516,0.0,1.0,8.379, 
28.0,8.4698,0.0,259.55,260.179,0.0,1.0,8.4698, 
28.166667,8.5625,0.0,261.212,261.841,0.0,1.0,8.5625, 
28.333333,8.6525,0.0,262.879,263.5,0.0,1.0,8.6525, 
28.5,8.7453,0.0,264.541,265.166,0.0,1.0,8.7453, 
28.666667,8.8381,0.0,266.204,266.833,0.0,1.0,8.8381, 
28.833333,8.9331,0.0,267.87,268.487,0.0,1.0,8.9331, 
29.0,9.0285,0.0,269.533,270.15,0.0,1.0,9.0285, 
29.166667,9.1251,0.0,271.195,271.812,0.0,1.0,9.1251, 
29.333333,9.2191,0.0,272.862,273.479,0.0,1.0,9.2191, 
29.5,9.3192,0.0,274.525,275.137,0.0,1.0,9.3192, 
29.666667,9.4179,0.0,276.187,276.804,0.0,1.0,9.4179, 
29.833333,9.5173,0.0,277.854,278.466,0.0,1.0,9.5173, 
30.0,9.6172,0.0,279.516,280.129,0.0,1.0,9.6172, 
30.166667,9.7176,0.0,281.183,281.795,0.0,1.0,9.7176, 
30.333333,9.8193,0.0,282.845,283.458,0.0,1.0,9.8193, 
30.5,9.922,0.0,284.508,285.116,0.0,1.0,9.922, 
30.666667,10.0234,0.0,286.175,286.779,0.0,1.0,10.0234, 
30.833333,10.1289,0.0,287.837,288.445,0.0,1.0,10.1289, 
31.0,10.2308,0.0,289.5,290.112,0.0,1.0,10.2308, 
31.166667,10.3362,0.0,291.166,291.783,0.0,1.0,10.3362, 
31.333333,10.443,0.0,292.829,293.441,0.0,1.0,10.443, 
31.5,10.5504,0.0,294.491,295.108,0.0,1.0,10.5504, 
31.666667,10.6476,0.0,296.158,296.77,0.0,1.0,10.6476, 
31.833333,10.7669,0.0,297.82,298.437,0.0,1.0,10.7669, 
32.0,10.8761,0.0,299.483,300.104,0.0,1.0,10.8761, 
32.166667,10.9887,0.0,301.15,301.766,0.0,1.0,10.9887, 
32.333333,11.1019,0.0,302.812,303.437,0.0,1.0,11.1019, 
32.5,11.2147,0.0,304.475,305.1,0.0,1.0,11.2147, 
32.666667,11.3333,0.0,306.141,306.758,0.0,1.0,11.3333, 
32.833333,11.4448,0.0,307.804,308.425,0.0,1.0,11.4448, 
33.0,11.5656,0.0,309.466,310.095,0.0,1.0,11.5656, 
33.166667,11.6889,0.0,311.133,311.754,0.0,1.0,11.6889, 
33.333333,11.8119,0.0,312.795,313.42,0.0,1.0,11.8119, 
33.5,11.9343,0.0,314.458,315.083,0.0,1.0,11.9343, 
33.666667,12.061,0.0,316.125,316.741,0.0,1.0,12.061, 
33.833333,12.1889,0.0,317.787,318.408,0.0,1.0,12.1889, 
34.0,12.3251,0.0,319.45,320.07,0.0,1.0,12.3251, 
34.166667,12.4592,0.0,321.116,321.733,0.0,1.0,12.4592, 
34.333333,12.5989,0.0,322.779,323.391,0.0,1.0,12.5989, 
34.5,12.7402,0.0,324.441,325.054,0.0,1.0,12.7402, 
34.666667,12.8866,0.0,326.108,326.716,0.0,1.0,12.8866, 
34.833333,13.0347,0.0,327.77,328.375,0.0,1.0,13.0347, 
35.0,13.189,0.0,329.433,330.045,0.0,1.0,13.189, 
35.166667,13.3484,0.0,331.1,331.7,0.0,1.0,13.3484, 
35.333333,13.5148,0.0,332.762,333.362,0.0,1.0,13.5148, 
35.5,13.6811,0.0,334.429,335.02,0.0,1.0,13.6811, 
35.666667,13.8467,0.0,336.091,336.691,0.0,1.0,13.8467, 
35.833333,13.9977,0.0,337.754,338.354,0.0,1.0,13.9977, 
36.0,14.1037,0.0,339.42,340.016,0.0,1.0,14.1037, 
36.166667,14.1654,0.0,341.083,341.683,0.0,1.0,14.1654, 
36.333333,14.1866,0.0,342.745,343.341,0.0,1.0,14.1866, 
36.5,14.2014,0.0,344.412,345.008,0.0,1.0,14.2014, 
36.666667,14.252,0.0,346.075,346.675,0.0,1.0,14.252, 
36.833333,14.3465,0.0,347.737,348.341,0.0,1.0,14.3465, 
37.0,14.4644,0.0,349.404,350.004,0.0,1.0,14.4644, 
37.166667,14.5962,0.0,351.066,351.675,0.0,1.0,14.5962, 
37.333333,14.7284,0.0,352.729,353.333,0.0,1.0,14.7284, 
37.5,14.8575,0.0,354.395,355.0,0.0,1.0,14.8575, 
37.666667,14.9941,0.0,356.058,356.67,0.0,1.0,14.9941, 
37.833333,15.1134,0.0,357.72,358.333,0.0,1.0,15.1134, 
38.0,15.2505,0.0,359.387,360.004,0.0,1.0,15.2505, 
38.166667,15.3906,0.0,361.05,361.666,0.0,1.0,15.3906, 
38.333333,15.5263,0.0,362.712,363.329,0.0,1.0,15.5263, 
38.5,15.6638,0.0,364.379,364.983,0.0,1.0,15.6638, 
38.666667,15.8019,0.0,366.041,366.65,0.0,1.0,15.8019, 
38.833333,15.9422,0.0,367.704,368.308,0.0,1.0,15.9422, 
39.0,16.084,0.0,369.37,369.975,0.0,1.0,16.084, 
39.166667,16.2259,0.0,371.033,371.633,0.0,1.0,16.2259, 
39.333333,16.3666,0.0,372.695,373.291,0.0,1.0,16.3666, 
39.5,16.5094,0.0,374.362,374.954,0.0,1.0,16.5094, 
39.666667,16.6564,0.0,376.025,376.62,0.0,1.0,16.6564, 
39.833333,16.8006,0.0,377.687,378.283,0.0,1.0,16.8006, 
40.0,16.9479,0.0,379.354,379.95,0.0,1.0,16.9479, 
40.094333,16.6539,0.0,379.691,380.745,0.0,1.0,16.6539, 
40.144333,17.384,0.0,379.191,380.245,0.0,1.0,17.384, 
40.194333,17.327,0.0,378.691,379.754,0.0,1.0,17.327, 
40.244333,17.0075,0.0,378.191,379.258,0.0,1.0,17.0075, 
