[Measurement conditions]
Sample identification,501203_3
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,02/Apr/2025 10:57
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.002000000,49.999928040
Scan step size,0.0108664
No. of points, 4141
Scan type,CONTINUOUS
Time per step,23.970
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007433220, 23.970, 1352.0, 36.7696
5.018299660, 23.970, 1416.0, 37.6298
5.029166100, 23.970, 1406.0, 37.4967
5.040032540, 23.970, 1433.0, 37.8550
5.050898980, 23.970, 1390.0, 37.2827
5.061765420, 23.970, 1428.0, 37.7889
5.072631860, 23.970, 1432.0, 37.8418
5.083498300, 23.970, 1438.0, 37.9210
5.094364740, 23.970, 1346.0, 36.6879
5.105231180, 23.970, 1362.0, 36.9053
5.116097620, 23.970, 1404.0, 37.4700
5.126964060, 23.970, 1432.0, 37.8418
5.137830500, 23.970, 1410.0, 37.5500
5.148696940, 23.970, 1500.0, 38.7298
5.159563380, 23.970, 1471.0, 38.3536
5.170429820, 23.970, 1499.0, 38.7169
5.181296260, 23.970, 1406.0, 37.4967
5.192162700, 23.970, 1454.0, 38.1314
5.203029140, 23.970, 1381.0, 37.1618
5.213895580, 23.970, 1466.0, 38.2884
5.224762020, 23.970, 1438.0, 37.9210
5.235628460, 23.970, 1484.0, 38.5227
5.246494900, 23.970, 1439.0, 37.9342
5.257361340, 23.970, 1453.0, 38.1182
5.268227780, 23.970, 1452.0, 38.1051
5.279094220, 23.970, 1483.0, 38.5097
5.289960660, 23.970, 1493.0, 38.6394
5.300827100, 23.970, 1489.0, 38.5876
5.311693540, 23.970, 1430.0, 37.8153
5.322559980, 23.970, 1443.0, 37.9868
5.333426420, 23.970, 1419.0, 37.6696
5.344292860, 23.970, 1486.0, 38.5487
5.355159300, 23.970, 1448.0, 38.0526
5.366025740, 23.970, 1474.0, 38.3927
5.376892180, 23.970, 1431.0, 37.8286
5.387758620, 23.970, 1507.0, 38.8201
5.398625060, 23.970, 1531.0, 39.1280
5.409491500, 23.970, 1469.0, 38.3275
5.420357940, 23.970, 1535.0, 39.1791
5.431224380, 23.970, 1522.0, 39.0128
5.442090820, 23.970, 1516.0, 38.9358
5.452957260, 23.970, 1467.0, 38.3014
5.463823700, 23.970, 1505.0, 38.7943
5.474690140, 23.970, 1467.0, 38.3014
5.485556580, 23.970, 1504.0, 38.7814
5.496423020, 23.970, 1504.0, 38.7814
