[Measurement conditions]
Sample identification,501024_2
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,26/Feb/2025 11:29
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.002000000,49.999928040
Scan step size,0.0108664
No. of points, 4141
Scan type,CONTINUOUS
Time per step,23.970
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007433220, 23.970, 1705.0, 41.2916
5.018299660, 23.970, 1643.0, 40.5339
5.029166100, 23.970, 1614.0, 40.1746
5.040032540, 23.970, 1653.0, 40.6571
5.050898980, 23.970, 1756.0, 41.9047
5.061765420, 23.970, 1722.0, 41.4970
5.072631860, 23.970, 1716.0, 41.4246
5.083498300, 23.970, 1761.0, 41.9643
5.094364740, 23.970, 1708.0, 41.3280
5.105231180, 23.970, 1728.0, 41.5692
5.116097620, 23.970, 1719.0, 41.4608
5.126964060, 23.970, 1818.0, 42.6380
5.137830500, 23.970, 1782.0, 42.2137
5.148696940, 23.970, 1765.0, 42.0119
5.159563380, 23.970, 1746.0, 41.7852
5.170429820, 23.970, 1716.0, 41.4246
5.181296260, 23.970, 1759.0, 41.9404
5.192162700, 23.970, 1716.0, 41.4246
5.203029140, 23.970, 1765.0, 42.0119
5.213895580, 23.970, 1773.0, 42.1070
5.224762020, 23.970, 1778.0, 42.1663
5.235628460, 23.970, 1808.0, 42.5206
5.246494900, 23.970, 1797.0, 42.3910
5.257361340, 23.970, 1810.0, 42.5441
5.268227780, 23.970, 1859.0, 43.1161
5.279094220, 23.970, 1808.0, 42.5206
5.289960660, 23.970, 1803.0, 42.4617
5.300827100, 23.970, 1796.0, 42.3792
5.311693540, 23.970, 1818.0, 42.6380
5.322559980, 23.970, 1812.0, 42.5676
5.333426420, 23.970, 1801.0, 42.4382
5.344292860, 23.970, 1931.0, 43.9431
5.355159300, 23.970, 1836.0, 42.8486
5.366025740, 23.970, 1906.0, 43.6578
5.376892180, 23.970, 1831.0, 42.7902
5.387758620, 23.970, 1831.0, 42.7902
5.398625060, 23.970, 1869.0, 43.2319
5.409491500, 23.970, 1879.0, 43.3474
5.420357940, 23.970, 1833.0, 42.8135
5.431224380, 23.970, 1892.0, 43.4971
5.442090820, 23.970, 1834.0, 42.8252
5.452957260, 23.970, 1842.0, 42.9185
5.463823700, 23.970, 1925.0, 43.8748
5.474690140, 23.970, 1806.0, 42.4971
5.485556580, 23.970, 1831.0, 42.7902
5.496423020, 23.970, 1858.0, 43.1045
5.507289460, 23.970, 1941.0, 44.0568
5.518155900, 23.970, 1834.0, 42.8252
5.529022340, 23.970, 1889.0, 43.4626
5.539888780, 23.970, 1915.0, 43.7607
5.550755220, 23.970, 1924.0, 43.8634
5.561621660, 23.970, 1965.0, 44.3283
5.572488100, 23.970, 1930.0, 43.9318
5.583354540, 23.970, 1934.0, 43.9773
5.594220980, 23.970, 1957.0, 44.2380
5.605087420, 23.970, 1944.0, 44.0908
5.615953860, 23.970, 1920.0, 43.8178
5.626820300, 23.970, 1909.0, 43.6921
5.637686740, 23.970, 1922.0, 43.8406
5.648553180, 23.970, 1908.0, 43.6807
5.659419620, 23.970, 2035.0, 45.1110
5.670286060, 23.970, 2043.0, 45.1996
5.681152500, 23.970, 1959.0, 44.2606
5.692018940, 23.970, 2001.0, 44.7325
5.702885380, 23.970, 1848.0, 42.9884
5.713751820, 23.970, 2025.0, 45.0000
5.724618260, 23.970, 1935.0, 43.9886
5.735484700, 23.970, 2082.0, 45.6289
5.746351140, 23.970, 1941.0, 44.0568
5.757217580, 23.970, 1982.0, 44.5197
5.768084020, 23.970, 1930.0, 43.9318
5.778950460, 23.970, 1956.0, 44.2267
5.789816900, 23.970, 2003.0, 44.7549
5.800683340, 23.970, 2051.0, 45.2880
5.811549780, 23.970, 1934.0, 43.9773
5.822416220, 23.970, 2003.0, 44.7549
5.833282660, 23.970, 2031.0, 45.0666
5.844149100, 23.970, 1928.0, 43.9090
5.855015540, 23.970, 1994.0, 44.6542
5.865881980, 23.970, 2086.0, 45.6727
5.876748420, 23.970, 1938.0, 44.0227
5.887614860, 23.970, 2064.0, 45.4313
5.898481300, 23.970, 1957.0, 44.2380
5.909347740, 23.970, 1914.0, 43.7493
5.920214180, 23.970, 1996.0, 44.6766
5.931080620, 23.970, 1999.0, 44.7102
5.941947060, 23.970, 2031.0, 45.0666
5.952813500, 23.970, 2042.0, 45.1885
5.963679940, 23.970, 2113.0, 45.9674
5.974546380, 23.970, 1974.0, 44.4297
5.985412820, 23.970, 2015.0, 44.8888
5.996279260, 23.970, 1999.0, 44.7102
6.007145700, 23.970, 2077.0, 45.5741
6.018012140, 23.970, 2005.0, 44.7772
6.028878580, 23.970, 2053.0, 45.3100
6.039745020, 23.970, 2024.0, 44.9889
6.050611460, 23.970, 2063.0, 45.4203
6.061477900, 23.970, 1979.0, 44.4860
6.072344340, 23.970, 2112.0, 45.9565
6.083210780, 23.970, 2033.0, 45.0888
6.094077220, 23.970, 2081.0, 45.6180
6.104943660, 23.970, 2069.0, 45.4863
6.115810100, 23.970, 2099.0, 45.8148
6.126676540, 23.970, 2056.0, 45.3431
6.137542980, 23.970, 2034.0, 45.0999
6.148409420, 23.970, 2102.0, 45.8476
6.159275860, 23.970, 1963.0, 44.3058
6.170142300, 23.970, 2130.0, 46.1519
6.181008740, 23.970, 2030.0, 45.0555
6.191875180, 23.970, 2129.0, 46.1411
6.202741620, 23.970, 2124.0, 46.0869
6.213608060, 23.970, 2186.0, 46.7547
6.224474500, 23.970, 2080.0, 45.6070
6.235340940, 23.970, 2122.0, 46.0652
6.246207380, 23.970, 2142.0, 46.2817
6.257073820, 23.970, 2121.0, 46.0543
6.267940260, 23.970, 2144.0, 46.3033
6.278806700, 23.970, 2151.0, 46.3789
6.289673140, 23.970, 2142.0, 46.2817
6.300539580, 23.970, 2236.0, 47.2864
6.311406020, 23.970, 2131.0, 46.1628
6.322272460, 23.970, 2121.0, 46.0543
6.333138900, 23.970, 2143.0, 46.2925
6.344005340, 23.970, 2097.0, 45.7930
6.354871780, 23.970, 2060.0, 45.3872
6.365738220, 23.970, 2122.0, 46.0652
6.376604660, 23.970, 2169.0, 46.5725
6.387471100, 23.970, 2109.0, 45.9239
6.398337540, 23.970, 2045.0, 45.2217
6.409203980, 23.970, 2142.0, 46.2817
6.420070420, 23.970, 2186.0, 46.7547
6.430936860, 23.970, 2149.0, 46.3573
6.441803300, 23.970, 2120.0, 46.0435
6.452669740, 23.970, 2199.0, 46.8935
6.463536180, 23.970, 2186.0, 46.7547
6.474402620, 23.970, 2134.0, 46.1952
6.485269060, 23.970, 2216.0, 47.0744
6.496135500, 23.970, 2179.0, 46.6798
6.507001940, 23.970, 2135.0, 46.2061
6.517868380, 23.970, 2094.0, 45.7602
6.528734820, 23.970, 2208.0, 46.9894
6.539601260, 23.970, 2261.0, 47.5500
6.550467700, 23.970, 2179.0, 46.6798
6.561334140, 23.970, 2250.0, 47.4342
6.572200580, 23.970, 2150.0, 46.3681
6.583067020, 23.970, 2204.0, 46.9468
6.593933460, 23.970, 2133.0, 46.1844
6.604799900, 23.970, 2196.0, 46.8615
6.615666340, 23.970, 2198.0, 46.8828
6.626532780, 23.970, 2188.0, 46.7761
6.637399220, 23.970, 2232.0, 47.2440
6.648265660, 23.970, 2222.0, 47.1381
6.659132100, 23.970, 2104.0, 45.8694
6.669998540, 23.970, 2175.0, 46.6369
6.680864980, 23.970, 2159.0, 46.4650
6.691731420, 23.970, 2217.0, 47.0850
6.702597860, 23.970, 2227.0, 47.1911
6.713464300, 23.970, 2213.0, 47.0425
6.724330740, 23.970, 2256.0, 47.4974
6.735197180, 23.970, 2232.0, 47.2440
6.746063620, 23.970, 2282.0, 47.7703
6.756930060, 23.970, 2187.0, 46.7654
6.767796500, 23.970, 2247.0, 47.4025
6.778662940, 23.970, 2231.0, 47.2335
6.789529380, 23.970, 2268.0, 47.6235
6.800395820, 23.970, 2292.0, 47.8748
6.811262260, 23.970, 2248.0, 47.4131
6.822128700, 23.970, 2223.0, 47.1487
6.832995140, 23.970, 2212.0, 47.0319
6.843861580, 23.970, 2269.0, 47.6340
6.854728020, 23.970, 2303.0, 47.9896
6.865594460, 23.970, 2164.0, 46.5188
6.876460900, 23.970, 2141.0, 46.2709
6.887327340, 23.970, 2262.0, 47.5605
6.898193780, 23.970, 2249.0, 47.4236
6.909060220, 23.970, 2268.0, 47.6235
6.919926660, 23.970, 2238.0, 47.3075
6.930793100, 23.970, 2214.0, 47.0532
6.941659540, 23.970, 2224.0, 47.1593
6.952525980, 23.970, 2230.0, 47.2229
6.963392420, 23.970, 2328.0, 48.2494
6.974258860, 23.970, 2364.0, 48.6210
6.985125300, 23.970, 2284.0, 47.7912
6.995991740, 23.970, 2255.0, 47.4868
7.006858180, 23.970, 2160.0, 46.4758
7.017724620, 23.970, 2196.0, 46.8615
7.028591060, 23.970, 2283.0, 47.7807
7.039457500, 23.970, 2389.0, 48.8774
7.050323940, 23.970, 2210.0, 47.0106
7.061190380, 23.970, 2373.0, 48.7134
7.072056820, 23.970, 2311.0, 48.0729
7.082923260, 23.970, 2440.0, 49.3964
7.093789700, 23.970, 2216.0, 47.0744
7.104656140, 23.970, 2260.0, 47.5395
7.115522580, 23.970, 2200.0, 46.9042
7.126389020, 23.970, 2348.0, 48.4562
7.137255460, 23.970, 2265.0, 47.5920
7.148121900, 23.970, 2388.0, 48.8672
7.158988340, 23.970, 2300.0, 47.9583
7.169854780, 23.970, 2303.0, 47.9896
7.180721220, 23.970, 2307.0, 48.0312
7.191587660, 23.970, 2329.0, 48.2597
7.202454100, 23.970, 2296.0, 47.9166
7.213320540, 23.970, 2279.0, 47.7389
7.224186980, 23.970, 2426.0, 49.2544
7.235053420, 23.970, 2357.0, 48.5489
7.245919860, 23.970, 2198.0, 46.8828
7.256786300, 23.970, 2240.0, 47.3286
7.267652740, 23.970, 2234.0, 47.2652
7.278519180, 23.970, 2400.0, 48.9898
7.289385620, 23.970, 2367.0, 48.6518
7.300252060, 23.970, 2365.0, 48.6313
7.311118500, 23.970, 2347.0, 48.4458
7.321984940, 23.970, 2411.0, 49.1019
7.332851380, 23.970, 2361.0, 48.5901
7.343717820, 23.970, 2291.0, 47.8644
7.354584260, 23.970, 2310.0, 48.0625
7.365450700, 23.970, 2264.0, 47.5815
7.376317140, 23.970, 2400.0, 48.9898
7.387183580, 23.970, 2291.0, 47.8644
7.398050020, 23.970, 2301.0, 47.9687
7.408916460, 23.970, 2270.0, 47.6445
7.419782900, 23.970, 2231.0, 47.2335
7.430649340, 23.970, 2311.0, 48.0729
7.441515780, 23.970, 2364.0, 48.6210
7.452382220, 23.970, 2283.0, 47.7807
7.463248660, 23.970, 2255.0, 47.4868
7.474115100, 23.970, 2238.0, 47.3075
7.484981540, 23.970, 2257.0, 47.5079
7.495847980, 23.970, 2387.0, 48.8569
