Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.0,2.0739,0.0,30.0,31.087,0.0,1.0,2.0739, 
0.166667,2.0775,0.0,30.0,31.087,0.0,1.0,2.0775, 
0.333333,2.0781,0.0,30.0,31.083,0.0,1.0,2.0781, 
0.5,2.0794,0.0,30.0,31.083,0.0,1.0,2.0794, 
0.666667,2.0803,0.0,30.0,31.083,0.0,1.0,2.0803, 
0.833333,2.0824,0.0,30.0,31.083,0.0,1.0,2.0824, 
1.0,2.083,0.0,30.0,31.079,0.0,1.0,2.083, 
1.166667,2.086,0.0,30.0,31.079,0.0,1.0,2.086, 
1.333333,2.0883,0.0,30.0,31.079,0.0,1.0,2.0883, 
1.5,2.092,0.0,30.0,31.075,0.0,1.0,2.092, 
1.666667,2.0931,0.0,30.0,31.075,0.0,1.0,2.0931, 
1.833333,2.0956,0.0,30.0,31.075,0.0,1.0,2.0956, 
2.0,2.0971,0.0,30.0,31.075,0.0,1.0,2.0971, 
2.052333,1.6125,0.0,30.241,31.133,0.0,1.0,1.6125, 
2.102333,1.6246,0.0,30.491,31.32,0.0,1.0,1.6246, 
2.152333,1.9425,0.0,30.741,31.554,0.0,1.0,1.9425, 
2.202333,2.2427,0.0,30.991,31.8,0.0,1.0,2.2427, 
2.252333,2.3956,0.0,31.241,32.041,0.0,1.0,2.3956, 
2.302333,2.4487,0.0,31.487,32.287,0.0,1.0,2.4487, 
2.352333,2.4631,0.0,31.737,32.537,0.0,1.0,2.4631, 
2.402333,2.4668,0.0,31.987,32.779,0.0,1.0,2.4668, 
2.452333,2.4708,0.0,32.237,33.02,0.0,1.0,2.4708, 
2.502333,2.4796,0.0,32.487,33.275,0.0,1.0,2.4796, 
2.552333,2.4924,0.0,32.737,33.516,0.0,1.0,2.4924, 
2.602333,2.5032,0.0,32.987,33.758,0.0,1.0,2.5032, 
2.652333,2.5173,0.0,33.237,34.008,0.0,1.0,2.5173, 
2.702333,2.531,0.0,33.487,34.258,0.0,1.0,2.531, 
2.752333,2.544,0.0,33.737,34.5,0.0,1.0,2.544, 
2.802333,2.5568,0.0,33.987,34.745,0.0,1.0,2.5568, 
2.852333,2.5718,0.0,34.233,34.991,0.0,1.0,2.5718, 
