[Measurement conditions]
Sample identification,HDPE_4
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,02/Apr/2025 11:21
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.002000000,49.999928040
Scan step size,0.0108664
No. of points, 4141
Scan type,CONTINUOUS
Time per step,23.970
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007433220, 23.970, 1570.0, 39.6232
5.018299660, 23.970, 1521.0, 39.0000
5.029166100, 23.970, 1614.0, 40.1746
5.040032540, 23.970, 1567.0, 39.5854
5.050898980, 23.970, 1549.0, 39.3573
5.061765420, 23.970, 1515.0, 38.9230
5.072631860, 23.970, 1548.0, 39.3446
5.083498300, 23.970, 1568.0, 39.5980
5.094364740, 23.970, 1597.0, 39.9625
5.105231180, 23.970, 1634.0, 40.4228
5.116097620, 23.970, 1656.0, 40.6940
5.126964060, 23.970, 1626.0, 40.3237
5.137830500, 23.970, 1598.0, 39.9750
5.148696940, 23.970, 1630.0, 40.3733
5.159563380, 23.970, 1686.0, 41.0609
5.170429820, 23.970, 1628.0, 40.3485
5.181296260, 23.970, 1681.0, 41.0000
5.192162700, 23.970, 1694.0, 41.1582
5.203029140, 23.970, 1717.0, 41.4367
5.213895580, 23.970, 1695.0, 41.1704
5.224762020, 23.970, 1713.0, 41.3884
5.235628460, 23.970, 1694.0, 41.1582
5.246494900, 23.970, 1642.0, 40.5216
5.257361340, 23.970, 1722.0, 41.4970
5.268227780, 23.970, 1657.0, 40.7063
5.279094220, 23.970, 1744.0, 41.7612
5.289960660, 23.970, 1647.0, 40.5832
5.300827100, 23.970, 1762.0, 41.9762
5.311693540, 23.970, 1631.0, 40.3856
5.322559980, 23.970, 1673.0, 40.9023
5.333426420, 23.970, 1656.0, 40.6940
5.344292860, 23.970, 1698.0, 41.2068
5.355159300, 23.970, 1790.0, 42.3084
5.366025740, 23.970, 1753.0, 41.8688
5.376892180, 23.970, 1727.0, 41.5572
5.387758620, 23.970, 1688.0, 41.0853
5.398625060, 23.970, 1743.0, 41.7493
5.409491500, 23.970, 1685.0, 41.0488
5.420357940, 23.970, 1821.0, 42.6732
5.431224380, 23.970, 1810.0, 42.5441
5.442090820, 23.970, 1766.0, 42.0238
5.452957260, 23.970, 1737.0, 41.6773
5.463823700, 23.970, 1697.0, 41.1947
5.474690140, 23.970, 1707.0, 41.3159
5.485556580, 23.970, 1775.0, 42.1307
5.496423020, 23.970, 1900.0, 43.5890
5.507289460, 23.970, 1732.0, 41.6173
5.518155900, 23.970, 1778.0, 42.1663
5.529022340, 23.970, 1813.0, 42.5793
5.539888780, 23.970, 1714.0, 41.4005
5.550755220, 23.970, 1835.0, 42.8369
5.561621660, 23.970, 1817.0, 42.6263
5.572488100, 23.970, 1751.0, 41.8450
5.583354540, 23.970, 1810.0, 42.5441
5.594220980, 23.970, 1818.0, 42.6380
5.605087420, 23.970, 1823.0, 42.6966
5.615953860, 23.970, 1846.0, 42.9651
5.626820300, 23.970, 1898.0, 43.5660
5.637686740, 23.970, 1890.0, 43.4741
5.648553180, 23.970, 1871.0, 43.2551
5.659419620, 23.970, 1861.0, 43.1393
5.670286060, 23.970, 1889.0, 43.4626
5.681152500, 23.970, 1897.0, 43.5546
5.692018940, 23.970, 1925.0, 43.8748
5.702885380, 23.970, 1911.0, 43.7150
5.713751820, 23.970, 1914.0, 43.7493
5.724618260, 23.970, 1827.0, 42.7434
5.735484700, 23.970, 1930.0, 43.9318
5.746351140, 23.970, 1911.0, 43.7150
5.757217580, 23.970, 1911.0, 43.7150
5.768084020, 23.970, 1949.0, 44.1475
5.778950460, 23.970, 1912.0, 43.7264
5.789816900, 23.970, 1888.0, 43.4511
5.800683340, 23.970, 1940.0, 44.0454
5.811549780, 23.970, 1976.0, 44.4522
5.822416220, 23.970, 2052.0, 45.2990
5.833282660, 23.970, 1919.0, 43.8064
5.844149100, 23.970, 1952.0, 44.1814
5.855015540, 23.970, 1945.0, 44.1022
5.865881980, 23.970, 1995.0, 44.6654
5.876748420, 23.970, 1993.0, 44.6430
5.887614860, 23.970, 1972.0, 44.4072
5.898481300, 23.970, 1974.0, 44.4297
5.909347740, 23.970, 2018.0, 44.9222
5.920214180, 23.970, 2004.0, 44.7661
5.931080620, 23.970, 2099.0, 45.8148
5.941947060, 23.970, 1954.0, 44.2041
5.952813500, 23.970, 2014.0, 44.8776
5.963679940, 23.970, 1956.0, 44.2267
5.974546380, 23.970, 1925.0, 43.8748
5.985412820, 23.970, 2014.0, 44.8776
5.996279260, 23.970, 1963.0, 44.3058
6.007145700, 23.970, 2040.0, 45.1664
6.018012140, 23.970, 2087.0, 45.6837
6.028878580, 23.970, 2048.0, 45.2548
6.039745020, 23.970, 2087.0, 45.6837
6.050611460, 23.970, 2041.0, 45.1774
6.061477900, 23.970, 1979.0, 44.4860
6.072344340, 23.970, 2045.0, 45.2217
6.083210780, 23.970, 2091.0, 45.7275
6.094077220, 23.970, 2148.0, 46.3465
6.104943660, 23.970, 2136.0, 46.2169
6.115810100, 23.970, 2178.0, 46.6690
6.126676540, 23.970, 2099.0, 45.8148
6.137542980, 23.970, 2077.0, 45.5741
6.148409420, 23.970, 2154.0, 46.4112
6.159275860, 23.970, 2098.0, 45.8039
6.170142300, 23.970, 2127.0, 46.1194
6.181008740, 23.970, 2109.0, 45.9239
6.191875180, 23.970, 2082.0, 45.6289
6.202741620, 23.970, 2121.0, 46.0543
6.213608060, 23.970, 2005.0, 44.7772
6.224474500, 23.970, 2201.0, 46.9148
6.235340940, 23.970, 2082.0, 45.6289
6.246207380, 23.970, 2162.0, 46.4973
6.257073820, 23.970, 2223.0, 47.1487
6.267940260, 23.970, 2197.0, 46.8722
6.278806700, 23.970, 2104.0, 45.8694
6.289673140, 23.970, 2214.0, 47.0532
6.300539580, 23.970, 2122.0, 46.0652
6.311406020, 23.970, 2186.0, 46.7547
6.322272460, 23.970, 2129.0, 46.1411
6.333138900, 23.970, 2229.0, 47.2123
6.344005340, 23.970, 2126.0, 46.1086
6.354871780, 23.970, 2152.0, 46.3897
6.365738220, 23.970, 2180.0, 46.6905
6.376604660, 23.970, 2233.0, 47.2546
6.387471100, 23.970, 2228.0, 47.2017
6.398337540, 23.970, 2188.0, 46.7761
6.409203980, 23.970, 2137.0, 46.2277
6.420070420, 23.970, 2188.0, 46.7761
6.430936860, 23.970, 2174.0, 46.6262
6.441803300, 23.970, 2277.0, 47.7179
6.452669740, 23.970, 2217.0, 47.0850
6.463536180, 23.970, 2153.0, 46.4004
6.474402620, 23.970, 2286.0, 47.8121
6.485269060, 23.970, 2206.0, 46.9681
6.496135500, 23.970, 2240.0, 47.3286
6.507001940, 23.970, 2253.0, 47.4658
6.517868380, 23.970, 2215.0, 47.0638
6.528734820, 23.970, 2211.0, 47.0213
6.539601260, 23.970, 2250.0, 47.4342
6.550467700, 23.970, 2224.0, 47.1593
6.561334140, 23.970, 2256.0, 47.4974
6.572200580, 23.970, 2298.0, 47.9375
6.583067020, 23.970, 2313.0, 48.0937
6.593933460, 23.970, 2193.0, 46.8295
6.604799900, 23.970, 2292.0, 47.8748
6.615666340, 23.970, 2207.0, 46.9787
6.626532780, 23.970, 2296.0, 47.9166
6.637399220, 23.970, 2261.0, 47.5500
6.648265660, 23.970, 2296.0, 47.9166
6.659132100, 23.970, 2270.0, 47.6445
6.669998540, 23.970, 2344.0, 48.4149
6.680864980, 23.970, 2266.0, 47.6025
6.691731420, 23.970, 2334.0, 48.3115
6.702597860, 23.970, 2350.0, 48.4768
6.713464300, 23.970, 2375.0, 48.7340
6.724330740, 23.970, 2256.0, 47.4974
6.735197180, 23.970, 2407.0, 49.0612
6.746063620, 23.970, 2254.0, 47.4763
6.756930060, 23.970, 2339.0, 48.3632
6.767796500, 23.970, 2323.0, 48.1975
6.778662940, 23.970, 2331.0, 48.2804
6.789529380, 23.970, 2465.0, 49.6488
6.800395820, 23.970, 2271.0, 47.6550
6.811262260, 23.970, 2299.0, 47.9479
6.822128700, 23.970, 2406.0, 49.0510
6.832995140, 23.970, 2317.0, 48.1352
6.843861580, 23.970, 2450.0, 49.4975
6.854728020, 23.970, 2375.0, 48.7340
6.865594460, 23.970, 2460.0, 49.5984
6.876460900, 23.970, 2336.0, 48.3322
6.887327340, 23.970, 2417.0, 49.1630
6.898193780, 23.970, 2370.0, 48.6826
6.909060220, 23.970, 2422.0, 49.2138
6.919926660, 23.970, 2395.0, 48.9387
6.930793100, 23.970, 2384.0, 48.8262
6.941659540, 23.970, 2352.0, 48.4974
6.952525980, 23.970, 2364.0, 48.6210
6.963392420, 23.970, 2496.0, 49.9600
6.974258860, 23.970, 2346.0, 48.4355
6.985125300, 23.970, 2412.0, 49.1121
6.995991740, 23.970, 2408.0, 49.0714
7.006858180, 23.970, 2321.0, 48.1768
7.017724620, 23.970, 2450.0, 49.4975
7.028591060, 23.970, 2499.0, 49.9900
7.039457500, 23.970, 2375.0, 48.7340
7.050323940, 23.970, 2469.0, 49.6890
7.061190380, 23.970, 2433.0, 49.3254
7.072056820, 23.970, 2452.0, 49.5177
7.082923260, 23.970, 2375.0, 48.7340
7.093789700, 23.970, 2391.0, 48.8979
7.104656140, 23.970, 2485.0, 49.8498
