[Measurement conditions]
Sample identification,HDPE_6 (cal)
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,02/Apr/2025 17:43
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,3.000000000,79.999593840
Scan step size,0.0108664
No. of points, 7086
Scan type,CONTINUOUS
Time per step,23.970
[Scan points]
Angle, TimePerStep, Intensity, ESD
3.005433220, 23.970, 1449.0, 38.0657
3.016299660, 23.970, 1671.0, 40.8779
3.027166100, 23.970, 1420.0, 37.6829
3.038032540, 23.970, 1484.0, 38.5227
3.048898980, 23.970, 1521.0, 39.0000
3.059765420, 23.970, 1604.0, 40.0500
3.070631860, 23.970, 1420.0, 37.6829
3.081498300, 23.970, 1501.0, 38.7427
3.092364740, 23.970, 1356.0, 36.8239
3.103231180, 23.970, 1576.0, 39.6989
3.114097620, 23.970, 1400.0, 37.4166
3.124964060, 23.970, 1463.0, 38.2492
3.135830500, 23.970, 1355.0, 36.8103
3.146696940, 23.970, 1461.0, 38.2230
3.157563380, 23.970, 1347.0, 36.7015
3.168429820, 23.970, 1436.0, 37.8946
3.179296260, 23.970, 1287.0, 35.8748
3.190162700, 23.970, 1402.0, 37.4433
3.201029140, 23.970, 1354.0, 36.7967
3.211895580, 23.970, 1362.0, 36.9053
3.222762020, 23.970, 1310.0, 36.1939
3.233628460, 23.970, 1391.0, 37.2961
3.244494900, 23.970, 1265.0, 35.5668
3.255361340, 23.970, 1351.0, 36.7560
3.266227780, 23.970, 1199.0, 34.6266
3.277094220, 23.970, 1319.0, 36.3180
3.287960660, 23.970, 1201.0, 34.6554
3.298827100, 23.970, 1256.0, 35.4401
3.309693540, 23.970, 1267.0, 35.5949
3.320559980, 23.970, 1226.0, 35.0143
3.331426420, 23.970, 1205.0, 34.7131
3.342292860, 23.970, 1300.0, 36.0555
3.353159300, 23.970, 1217.0, 34.8855
3.364025740, 23.970, 1308.0, 36.1663
3.374892180, 23.970, 1238.0, 35.1852
3.385758620, 23.970, 1200.0, 34.6410
3.396625060, 23.970, 1228.0, 35.0428
3.407491500, 23.970, 1172.0, 34.2345
3.418357940, 23.970, 1159.0, 34.0441
3.429224380, 23.970, 1167.0, 34.1614
3.440090820, 23.970, 1183.0, 34.3948
3.450957260, 23.970, 1159.0, 34.0441
3.461823700, 23.970, 1099.0, 33.1512
3.472690140, 23.970, 1173.0, 34.2491
3.483556580, 23.970, 1162.0, 34.0881
3.494423020, 23.970, 1157.0, 34.0147
3.505289460, 23.970, 1129.0, 33.6006
3.516155900, 23.970, 1109.0, 33.3017
3.527022340, 23.970, 1107.0, 33.2716
3.537888780, 23.970, 1099.0, 33.1512
3.548755220, 23.970, 1074.0, 32.7719
3.559621660, 23.970, 1093.0, 33.0606
3.570488100, 23.970, 1109.0, 33.3017
3.581354540, 23.970, 1065.0, 32.6343
3.592220980, 23.970, 1122.0, 33.4963
3.603087420, 23.970, 1037.0, 32.2025
3.613953860, 23.970, 1096.0, 33.1059
3.624820300, 23.970, 969.0, 31.1288
3.635686740, 23.970, 1051.0, 32.4191
3.646553180, 23.970, 1037.0, 32.2025
3.657419620, 23.970, 1034.0, 32.1559
3.668286060, 23.970, 1038.0, 32.2180
3.679152500, 23.970, 1031.0, 32.1092
3.690018940, 23.970, 1091.0, 33.0303
3.700885380, 23.970, 977.0, 31.2570
3.711751820, 23.970, 1026.0, 32.0312
3.722618260, 23.970, 1021.0, 31.9531
3.733484700, 23.970, 1060.0, 32.5576
3.744351140, 23.970, 1000.0, 31.6228
3.755217580, 23.970, 1016.0, 31.8748
3.766084020, 23.970, 1023.0, 31.9844
3.776950460, 23.970, 1002.0, 31.6544
3.787816900, 23.970, 1001.0, 31.6386
3.798683340, 23.970, 958.0, 30.9516
3.809549780, 23.970, 1021.0, 31.9531
3.820416220, 23.970, 1059.0, 32.5423
3.831282660, 23.970, 1017.0, 31.8904
3.842149100, 23.970, 1044.0, 32.3110
3.853015540, 23.970, 988.0, 31.4325
3.863881980, 23.970, 1026.0, 32.0312
3.874748420, 23.970, 982.0, 31.3369
3.885614860, 23.970, 975.0, 31.2250
3.896481300, 23.970, 1016.0, 31.8748
3.907347740, 23.970, 1020.0, 31.9374
3.918214180, 23.970, 1030.0, 32.0936
3.929080620, 23.970, 985.0, 31.3847
3.939947060, 23.970, 962.0, 31.0161
3.950813500, 23.970, 1030.0, 32.0936
3.961679940, 23.970, 981.0, 31.3209
3.972546380, 23.970, 987.0, 31.4166
3.983412820, 23.970, 988.0, 31.4325
3.994279260, 23.970, 934.0, 30.5614
4.005145700, 23.970, 1042.0, 32.2800
4.016012140, 23.970, 965.0, 31.0644
4.026878580, 23.970, 1037.0, 32.2025
4.037745020, 23.970, 1030.0, 32.0936
