[Measurement conditions]
Sample identification,HDPE_110C_1
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,12/Jun/2025 14:48
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,10.009000000,40.000374400
Scan step size,0.0651986
No. of points, 460
Scan type,CONTINUOUS
Time per step,71.910
[Scan points]
Angle, TimePerStep, Intensity, ESD
10.041599320, 71.910, 10837.0, 104.1009
10.106797960, 71.910, 10918.0, 104.4892
10.171996600, 71.910, 10953.0, 104.6566
10.237195240, 71.910, 10772.0, 103.7882
10.302393880, 71.910, 10816.0, 104.0000
10.367592520, 71.910, 10928.0, 104.5371
10.432791160, 71.910, 10975.0, 104.7616
10.497989800, 71.910, 10744.0, 103.6533
10.563188440, 71.910, 10827.0, 104.0529
10.628387080, 71.910, 10981.0, 104.7903
10.693585720, 71.910, 10921.0, 104.5036
10.758784360, 71.910, 10926.0, 104.5275
10.823983000, 71.910, 10969.0, 104.7330
10.889181640, 71.910, 10949.0, 104.6375
10.954380280, 71.910, 10956.0, 104.6709
11.019578920, 71.910, 10897.0, 104.3887
11.084777560, 71.910, 11025.0, 105.0000
11.149976200, 71.910, 10789.0, 103.8701
11.215174840, 71.910, 11012.0, 104.9381
11.280373480, 71.910, 11001.0, 104.8857
11.345572120, 71.910, 11073.0, 105.2283
11.410770760, 71.910, 10966.0, 104.7187
11.475969400, 71.910, 11317.0, 106.3814
11.541168040, 71.910, 11252.0, 106.0754
11.606366680, 71.910, 11057.0, 105.1523
11.671565320, 71.910, 10946.0, 104.6231
11.736763960, 71.910, 11162.0, 105.6504
11.801962600, 71.910, 11080.0, 105.2616
11.867161240, 71.910, 10812.0, 103.9808
11.932359880, 71.910, 11122.0, 105.4609
11.997558520, 71.910, 11075.0, 105.2378
12.062757160, 71.910, 11110.0, 105.4040
12.127955800, 71.910, 11303.0, 106.3156
12.193154440, 71.910, 11071.0, 105.2188
12.258353080, 71.910, 11406.0, 106.7989
12.323551720, 71.910, 11403.0, 106.7848
12.388750360, 71.910, 11376.0, 106.6583
12.453949000, 71.910, 11553.0, 107.4849
12.519147640, 71.910, 11421.0, 106.8691
12.584346280, 71.910, 11640.0, 107.8888
12.649544920, 71.910, 11215.0, 105.9009
12.714743560, 71.910, 11707.0, 108.1989
12.779942200, 71.910, 11452.0, 107.0140
12.845140840, 71.910, 11749.0, 108.3928
12.910339480, 71.910, 11644.0, 107.9074
12.975538120, 71.910, 11700.0, 108.1665
13.040736760, 71.910, 11626.0, 107.8239
13.105935400, 71.910, 11874.0, 108.9679
13.171134040, 71.910, 11908.0, 109.1238
13.236332680, 71.910, 11918.0, 109.1696
13.301531320, 71.910, 12109.0, 110.0409
13.366729960, 71.910, 12169.0, 110.3132
13.431928600, 71.910, 12309.0, 110.9459
13.497127240, 71.910, 12491.0, 111.7631
13.562325880, 71.910, 12500.0, 111.8034
13.627524520, 71.910, 12505.0, 111.8258
13.692723160, 71.910, 12698.0, 112.6854
13.757921800, 71.910, 12723.0, 112.7963
13.823120440, 71.910, 12965.0, 113.8640
13.888319080, 71.910, 12934.0, 113.7277
13.953517720, 71.910, 13306.0, 115.3516
14.018716360, 71.910, 13158.0, 114.7083
14.083915000, 71.910, 13161.0, 114.7214
14.149113640, 71.910, 13411.0, 115.8059
14.214312280, 71.910, 13670.0, 116.9188
14.279510920, 71.910, 13833.0, 117.6138
14.344709560, 71.910, 13858.0, 117.7200
14.409908200, 71.910, 13906.0, 117.9237
14.475106840, 71.910, 14404.0, 120.0167
14.540305480, 71.910, 14445.0, 120.1874
14.605504120, 71.910, 14375.0, 119.8958
14.670702760, 71.910, 14862.0, 121.9098
14.735901400, 71.910, 14779.0, 121.5689
14.801100040, 71.910, 14861.0, 121.9057
14.866298680, 71.910, 15256.0, 123.5152
14.931497320, 71.910, 15558.0, 124.7317
14.996695960, 71.910, 15745.0, 125.4791
15.061894600, 71.910, 15777.0, 125.6065
15.127093240, 71.910, 15950.0, 126.2933
15.192291880, 71.910, 16197.0, 127.2674
15.257490520, 71.910, 16463.0, 128.3082
15.322689160, 71.910, 16547.0, 128.6351
15.387887800, 71.910, 16833.0, 129.7421
15.453086440, 71.910, 16848.0, 129.7998
