[Measurement conditions]
Sample identification,HDPE_31C_after_1
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,12/Jun/2025 15:19
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,10.009000000,40.000374400
Scan step size,0.0651986
No. of points, 460
Scan type,CONTINUOUS
Time per step,71.910
[Scan points]
Angle, TimePerStep, Intensity, ESD
10.041599320, 71.910, 9317.0, 96.5246
10.106797960, 71.910, 9377.0, 96.8349
10.171996600, 71.910, 9343.0, 96.6592
10.237195240, 71.910, 9245.0, 96.1509
10.302393880, 71.910, 9142.0, 95.6138
10.367592520, 71.910, 9399.0, 96.9484
10.432791160, 71.910, 9283.0, 96.3483
10.497989800, 71.910, 9322.0, 96.5505
10.563188440, 71.910, 9163.0, 95.7236
10.628387080, 71.910, 9352.0, 96.7057
10.693585720, 71.910, 9453.0, 97.2265
10.758784360, 71.910, 9357.0, 96.7316
10.823983000, 71.910, 9340.0, 96.6437
10.889181640, 71.910, 9366.0, 96.7781
10.954380280, 71.910, 9330.0, 96.5919
11.019578920, 71.910, 8982.0, 94.7734
11.084777560, 71.910, 9221.0, 96.0260
11.149976200, 71.910, 9363.0, 96.7626
11.215174840, 71.910, 9160.0, 95.7079
11.280373480, 71.910, 9210.0, 95.9687
11.345572120, 71.910, 9150.0, 95.6556
11.410770760, 71.910, 9206.0, 95.9479
11.475969400, 71.910, 9322.0, 96.5505
11.541168040, 71.910, 9134.0, 95.5720
11.606366680, 71.910, 9071.0, 95.2418
11.671565320, 71.910, 9145.0, 95.6295
11.736763960, 71.910, 9229.0, 96.0677
11.801962600, 71.910, 9080.0, 95.2890
11.867161240, 71.910, 9031.0, 95.0316
11.932359880, 71.910, 8935.0, 94.5251
11.997558520, 71.910, 8883.0, 94.2497
12.062757160, 71.910, 9180.0, 95.8123
12.127955800, 71.910, 8961.0, 94.6626
12.193154440, 71.910, 8878.0, 94.2231
12.258353080, 71.910, 9033.0, 95.0421
12.323551720, 71.910, 9010.0, 94.9210
12.388750360, 71.910, 9122.0, 95.5092
12.453949000, 71.910, 9136.0, 95.5824
12.519147640, 71.910, 9120.0, 95.4987
12.584346280, 71.910, 9037.0, 95.0631
12.649544920, 71.910, 9139.0, 95.5981
12.714743560, 71.910, 9023.0, 94.9895
12.779942200, 71.910, 9091.0, 95.3467
12.845140840, 71.910, 9120.0, 95.4987
12.910339480, 71.910, 9136.0, 95.5824
12.975538120, 71.910, 9018.0, 94.9632
13.040736760, 71.910, 9258.0, 96.2185
13.105935400, 71.910, 9049.0, 95.1262
13.171134040, 71.910, 9053.0, 95.1473
13.236332680, 71.910, 9023.0, 94.9895
13.301531320, 71.910, 9096.0, 95.3730
13.366729960, 71.910, 9305.0, 96.4624
13.431928600, 71.910, 9157.0, 95.6922
13.497127240, 71.910, 9274.0, 96.3016
13.562325880, 71.910, 9261.0, 96.2341
13.627524520, 71.910, 9395.0, 96.9278
13.692723160, 71.910, 9487.0, 97.4012
13.757921800, 71.910, 9320.0, 96.5401
13.823120440, 71.910, 9351.0, 96.7006
13.888319080, 71.910, 9363.0, 96.7626
13.953517720, 71.910, 9627.0, 98.1173
14.018716360, 71.910, 9518.0, 97.5602
14.083915000, 71.910, 9564.0, 97.7957
14.149113640, 71.910, 9873.0, 99.3630
14.214312280, 71.910, 9665.0, 98.3107
14.279510920, 71.910, 9905.0, 99.5239
14.344709560, 71.910, 9786.0, 98.9242
14.409908200, 71.910, 9835.0, 99.1716
14.475106840, 71.910, 9916.0, 99.5791
14.540305480, 71.910, 9985.0, 99.9250
14.605504120, 71.910, 9938.0, 99.6895
14.670702760, 71.910, 10157.0, 100.7819
14.735901400, 71.910, 10249.0, 101.2373
14.801100040, 71.910, 10414.0, 102.0490
14.866298680, 71.910, 10417.0, 102.0637
14.931497320, 71.910, 10438.0, 102.1665
14.996695960, 71.910, 10606.0, 102.9854
15.061894600, 71.910, 10765.0, 103.7545
15.127093240, 71.910, 10576.0, 102.8397
15.192291880, 71.910, 10742.0, 103.6436
15.257490520, 71.910, 10828.0, 104.0577
15.322689160, 71.910, 11014.0, 104.9476
15.387887800, 71.910, 11094.0, 105.3281
15.453086440, 71.910, 10959.0, 104.6852
15.518285080, 71.910, 11312.0, 106.3579
15.583483720, 71.910, 11337.0, 106.4753
15.648682360, 71.910, 11349.0, 106.5317
15.713881000, 71.910, 11773.0, 108.5035
15.779079640, 71.910, 11612.0, 107.7590
15.844278280, 71.910, 11923.0, 109.1925
15.909476920, 71.910, 11961.0, 109.3664
15.974675560, 71.910, 12285.0, 110.8377
16.039874200, 71.910, 12338.0, 111.0766
16.105072840, 71.910, 12587.0, 112.1918
16.170271480, 71.910, 12837.0, 113.3005
16.235470120, 71.910, 12748.0, 112.9070
16.300668760, 71.910, 13109.0, 114.4945
16.365867400, 71.910, 13238.0, 115.0565
16.431066040, 71.910, 13606.0, 116.6448
16.496264680, 71.910, 13675.0, 116.9402
16.561463320, 71.910, 13898.0, 117.8898
16.626661960, 71.910, 14115.0, 118.8066
16.691860600, 71.910, 14363.0, 119.8457
16.757059240, 71.910, 14717.0, 121.3136
16.822257880, 71.910, 14770.0, 121.5319
16.887456520, 71.910, 15063.0, 122.7314
16.952655160, 71.910, 15388.0, 124.0484
17.017853800, 71.910, 15603.0, 124.9120
17.083052440, 71.910, 16068.0, 126.7596
17.148251080, 71.910, 16397.0, 128.0508
17.213449720, 71.910, 16488.0, 128.4056
17.278648360, 71.910, 16943.0, 130.1653
17.343847000, 71.910, 16999.0, 130.3802
17.409045640, 71.910, 17559.0, 132.5104
17.474244280, 71.910, 18160.0, 134.7590
17.539442920, 71.910, 18327.0, 135.3773
17.604641560, 71.910, 18715.0, 136.8028
17.669840200, 71.910, 19088.0, 138.1593
17.735038840, 71.910, 19244.0, 138.7227
17.800237480, 71.910, 19878.0, 140.9894
17.865436120, 71.910, 20279.0, 142.4044
17.930634760, 71.910, 20423.0, 142.9091
17.995833400, 71.910, 20864.0, 144.4438
18.061032040, 71.910, 21383.0, 146.2293
18.126230680, 71.910, 21774.0, 147.5602
18.191429320, 71.910, 22412.0, 149.7064
18.256627960, 71.910, 22480.0, 149.9333
18.321826600, 71.910, 22768.0, 150.8907
18.387025240, 71.910, 23267.0, 152.5352
18.452223880, 71.910, 23793.0, 154.2498
18.517422520, 71.910, 23909.0, 154.6254
18.582621160, 71.910, 24592.0, 156.8184
18.647819800, 71.910, 24902.0, 157.8037
18.713018440, 71.910, 25403.0, 159.3832
18.778217080, 71.910, 26116.0, 161.6045
18.843415720, 71.910, 26379.0, 162.4161
18.908614360, 71.910, 26932.0, 164.1097
18.973813000, 71.910, 26814.0, 163.7498
19.039011640, 71.910, 27509.0, 165.8584
19.104210280, 71.910, 27990.0, 167.3021
19.169408920, 71.910, 28149.0, 167.7766
19.234607560, 71.910, 28781.0, 169.6496
19.299806200, 71.910, 29350.0, 171.3184
19.365004840, 71.910, 29557.0, 171.9215
19.430203480, 71.910, 30245.0, 173.9109
19.495402120, 71.910, 30186.0, 173.7412
19.560600760, 71.910, 29899.0, 172.9133
19.625799400, 71.910, 30069.0, 173.4042
19.690998040, 71.910, 30245.0, 173.9109
19.756196680, 71.910, 30465.0, 174.5423
19.821395320, 71.910, 30659.0, 175.0971
19.886593960, 71.910, 30795.0, 175.4850
19.951792600, 71.910, 31298.0, 176.9124
20.016991240, 71.910, 31305.0, 176.9322
20.082189880, 71.910, 31905.0, 178.6197
20.147388520, 71.910, 32091.0, 179.1396
20.212587160, 71.910, 32465.0, 180.1805
20.277785800, 71.910, 32936.0, 181.4828
20.342984440, 71.910, 34214.0, 184.9703
20.408183080, 71.910, 34784.0, 186.5047
20.473381720, 71.910, 36190.0, 190.2367
20.538580360, 71.910, 37957.0, 194.8256
20.603779000, 71.910, 40049.0, 200.1225
20.668977640, 71.910, 43601.0, 208.8085
20.734176280, 71.910, 48223.0, 219.5974
20.799374920, 71.910, 55145.0, 234.8297
20.864573560, 71.910, 65292.0, 255.5230
20.929772200, 71.910, 79399.0, 281.7783
20.994970840, 71.910, 97522.0, 312.2851
21.060169480, 71.910, 119645.0, 345.8974
21.125368120, 71.910, 148237.0, 385.0156
21.190566760, 71.910, 182379.0, 427.0585
21.255765400, 71.910, 221689.0, 470.8386
21.320964040, 71.910, 272546.0, 522.0594
21.386162680, 71.910, 339321.0, 582.5127
21.451361320, 71.910, 426653.0, 653.1868
21.516559960, 71.910, 498025.0, 705.7089
21.581758600, 71.910, 480494.0, 693.1767
21.646957240, 71.910, 360108.0, 600.0900
21.712155880, 71.910, 215250.0, 463.9504
21.777354520, 71.910, 119658.0, 345.9162
21.842553160, 71.910, 74159.0, 272.3215
21.907751800, 71.910, 53982.0, 232.3403
21.972950440, 71.910, 43890.0, 209.4994
22.038149080, 71.910, 37636.0, 194.0000
22.103347720, 71.910, 33238.0, 182.3129
22.168546360, 71.910, 30558.0, 174.8085
22.233745000, 71.910, 28970.0, 170.2058
22.298943640, 71.910, 27619.0, 166.1897
22.364142280, 71.910, 26502.0, 162.7943
22.429340920, 71.910, 25465.0, 159.5776
22.494539560, 71.910, 24652.0, 157.0096
22.559738200, 71.910, 24452.0, 156.3714
22.624936840, 71.910, 24077.0, 155.1677
22.690135480, 71.910, 23809.0, 154.3017
22.755334120, 71.910, 23427.0, 153.0588
22.820532760, 71.910, 23449.0, 153.1307
22.885731400, 71.910, 23511.0, 153.3330
22.950930040, 71.910, 24026.0, 155.0032
23.016128680, 71.910, 24456.0, 156.3841
23.081327320, 71.910, 25272.0, 158.9717
23.146525960, 71.910, 26519.0, 162.8466
23.211724600, 71.910, 28172.0, 167.8452
23.276923240, 71.910, 30409.0, 174.3818
23.342121880, 71.910, 34265.0, 185.1081
23.407320520, 71.910, 37834.0, 194.5096
23.472519160, 71.910, 42568.0, 206.3201
