[Measurement conditions]
Sample identification,PEEK500907_300C_1
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,12/Jun/2025 12:44
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,10.009000000,40.000374400
Scan step size,0.0651986
No. of points, 460
Scan type,CONTINUOUS
Time per step,71.910
[Scan points]
Angle, TimePerStep, Intensity, ESD
10.041599320, 71.910, 5186.0, 72.0139
10.106797960, 71.910, 5287.0, 72.7118
10.171996600, 71.910, 5122.0, 71.5681
10.237195240, 71.910, 5062.0, 71.1477
10.302393880, 71.910, 5307.0, 72.8492
10.367592520, 71.910, 5268.0, 72.5810
10.432791160, 71.910, 5069.0, 71.1969
10.497989800, 71.910, 5226.0, 72.2911
10.563188440, 71.910, 5306.0, 72.8423
10.628387080, 71.910, 5234.0, 72.3464
10.693585720, 71.910, 5218.0, 72.2357
10.758784360, 71.910, 5287.0, 72.7118
10.823983000, 71.910, 5227.0, 72.2980
10.889181640, 71.910, 5268.0, 72.5810
10.954380280, 71.910, 5157.0, 71.8123
11.019578920, 71.910, 5301.0, 72.8080
11.084777560, 71.910, 5195.0, 72.0763
11.149976200, 71.910, 5250.0, 72.4569
11.215174840, 71.910, 5280.0, 72.6636
11.280373480, 71.910, 5305.0, 72.8354
11.345572120, 71.910, 5294.0, 72.7599
11.410770760, 71.910, 5225.0, 72.2842
11.475969400, 71.910, 5315.0, 72.9040
11.541168040, 71.910, 5295.0, 72.7668
11.606366680, 71.910, 5384.0, 73.3757
11.671565320, 71.910, 5399.0, 73.4779
11.736763960, 71.910, 5369.0, 73.2735
11.801962600, 71.910, 5403.0, 73.5051
11.867161240, 71.910, 5435.0, 73.7225
11.932359880, 71.910, 5490.0, 74.0945
11.997558520, 71.910, 5465.0, 73.9256
12.062757160, 71.910, 5370.0, 73.2803
12.127955800, 71.910, 5511.0, 74.2361
12.193154440, 71.910, 5454.0, 73.8512
12.258353080, 71.910, 5459.0, 73.8850
12.323551720, 71.910, 5571.0, 74.6391
12.388750360, 71.910, 5533.0, 74.3841
12.453949000, 71.910, 5634.0, 75.0600
12.519147640, 71.910, 5699.0, 75.4917
12.584346280, 71.910, 5661.0, 75.2396
12.649544920, 71.910, 5735.0, 75.7298
12.714743560, 71.910, 5615.0, 74.9333
12.779942200, 71.910, 5704.0, 75.5248
12.845140840, 71.910, 5858.0, 76.5376
12.910339480, 71.910, 5916.0, 76.9155
12.975538120, 71.910, 6020.0, 77.5887
13.040736760, 71.910, 5942.0, 77.0844
13.105935400, 71.910, 6018.0, 77.5758
13.171134040, 71.910, 5914.0, 76.9025
13.236332680, 71.910, 6169.0, 78.5430
13.301531320, 71.910, 6066.0, 77.8845
13.366729960, 71.910, 6172.0, 78.5621
13.431928600, 71.910, 6155.0, 78.4538
13.497127240, 71.910, 6321.0, 79.5047
13.562325880, 71.910, 6319.0, 79.4921
13.627524520, 71.910, 6337.0, 79.6053
13.692723160, 71.910, 6363.0, 79.7684
13.757921800, 71.910, 6588.0, 81.1665
13.823120440, 71.910, 6578.0, 81.1049
13.888319080, 71.910, 6547.0, 80.9135
13.953517720, 71.910, 6520.0, 80.7465
14.018716360, 71.910, 6834.0, 82.6680
14.083915000, 71.910, 6745.0, 82.1279
14.149113640, 71.910, 6750.0, 82.1584
14.214312280, 71.910, 7067.0, 84.0655
14.279510920, 71.910, 7098.0, 84.2496
14.344709560, 71.910, 7098.0, 84.2496
14.409908200, 71.910, 7072.0, 84.0952
14.475106840, 71.910, 7174.0, 84.6995
14.540305480, 71.910, 7255.0, 85.1763
14.605504120, 71.910, 7378.0, 85.8953
14.670702760, 71.910, 7394.0, 85.9884
14.735901400, 71.910, 7624.0, 87.3155
14.801100040, 71.910, 7466.0, 86.4060
14.866298680, 71.910, 7546.0, 86.8677
14.931497320, 71.910, 7601.0, 87.1837
14.996695960, 71.910, 7886.0, 88.8032
15.061894600, 71.910, 8052.0, 89.7329
15.127093240, 71.910, 7966.0, 89.2525
15.192291880, 71.910, 7908.0, 88.9269
15.257490520, 71.910, 8210.0, 90.6091
15.322689160, 71.910, 8137.0, 90.2053
15.387887800, 71.910, 8520.0, 92.3038
15.453086440, 71.910, 8390.0, 91.5969
15.518285080, 71.910, 8496.0, 92.1737
15.583483720, 71.910, 8495.0, 92.1683
15.648682360, 71.910, 8669.0, 93.1075
15.713881000, 71.910, 8589.0, 92.6769
15.779079640, 71.910, 8854.0, 94.0957
15.844278280, 71.910, 8944.0, 94.5727
15.909476920, 71.910, 8962.0, 94.6678
15.974675560, 71.910, 9241.0, 96.1301
16.039874200, 71.910, 9270.0, 96.2808
16.105072840, 71.910, 9189.0, 95.8593
16.170271480, 71.910, 9237.0, 96.1093
16.235470120, 71.910, 9526.0, 97.6012
16.300668760, 71.910, 9459.0, 97.2574
16.365867400, 71.910, 9993.0, 99.9650
16.431066040, 71.910, 9875.0, 99.3730
16.496264680, 71.910, 9862.0, 99.3076
16.561463320, 71.910, 9989.0, 99.9450
16.626661960, 71.910, 10147.0, 100.7323
16.691860600, 71.910, 10343.0, 101.7005
16.757059240, 71.910, 10333.0, 101.6514
16.822257880, 71.910, 10529.0, 102.6109
16.887456520, 71.910, 10671.0, 103.3005
16.952655160, 71.910, 10707.0, 103.4746
17.017853800, 71.910, 10913.0, 104.4653
17.083052440, 71.910, 11263.0, 106.1273
17.148251080, 71.910, 11266.0, 106.1414
17.213449720, 71.910, 11592.0, 107.6662
17.278648360, 71.910, 11855.0, 108.8807
17.343847000, 71.910, 12050.0, 109.7725
17.409045640, 71.910, 12704.0, 112.7120
17.474244280, 71.910, 12831.0, 113.2740
17.539442920, 71.910, 13567.0, 116.4775
17.604641560, 71.910, 14365.0, 119.8541
17.669840200, 71.910, 15272.0, 123.5799
17.735038840, 71.910, 16092.0, 126.8542
17.800237480, 71.910, 16921.0, 130.0807
