[Measurement conditions]
Sample identification,PEEK500907_30C_after_1
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,12/Jun/2025 13:22
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,10.009000000,40.000374400
Scan step size,0.0651986
No. of points, 460
Scan type,CONTINUOUS
Time per step,71.910
[Scan points]
Angle, TimePerStep, Intensity, ESD
10.041599320, 71.910, 4477.0, 66.9104
10.106797960, 71.910, 4533.0, 67.3276
10.171996600, 71.910, 4571.0, 67.6092
10.237195240, 71.910, 4461.0, 66.7907
10.302393880, 71.910, 4534.0, 67.3350
10.367592520, 71.910, 4545.0, 67.4166
10.432791160, 71.910, 4515.0, 67.1937
10.497989800, 71.910, 4316.0, 65.6963
10.563188440, 71.910, 4656.0, 68.2349
10.628387080, 71.910, 4531.0, 67.3127
10.693585720, 71.910, 4309.0, 65.6430
10.758784360, 71.910, 4436.0, 66.6033
10.823983000, 71.910, 4474.0, 66.8880
10.889181640, 71.910, 4442.0, 66.6483
10.954380280, 71.910, 4474.0, 66.8880
11.019578920, 71.910, 4371.0, 66.1135
11.084777560, 71.910, 4375.0, 66.1438
11.149976200, 71.910, 4364.0, 66.0606
11.215174840, 71.910, 4464.0, 66.8132
11.280373480, 71.910, 4500.0, 67.0820
11.345572120, 71.910, 4379.0, 66.1740
11.410770760, 71.910, 4404.0, 66.3626
11.475969400, 71.910, 4431.0, 66.5658
11.541168040, 71.910, 4436.0, 66.6033
11.606366680, 71.910, 4462.0, 66.7982
11.671565320, 71.910, 4472.0, 66.8730
11.736763960, 71.910, 4350.0, 65.9545
11.801962600, 71.910, 4484.0, 66.9627
11.867161240, 71.910, 4506.0, 67.1267
11.932359880, 71.910, 4468.0, 66.8431
11.997558520, 71.910, 4454.0, 66.7383
12.062757160, 71.910, 4501.0, 67.0895
12.127955800, 71.910, 4464.0, 66.8132
12.193154440, 71.910, 4449.0, 66.7008
12.258353080, 71.910, 4697.0, 68.5347
12.323551720, 71.910, 4481.0, 66.9403
12.388750360, 71.910, 4415.0, 66.4455
12.453949000, 71.910, 4485.0, 66.9701
12.519147640, 71.910, 4480.0, 66.9328
12.584346280, 71.910, 4414.0, 66.4379
12.649544920, 71.910, 4491.0, 67.0149
12.714743560, 71.910, 4521.0, 67.2384
12.779942200, 71.910, 4530.0, 67.3053
12.845140840, 71.910, 4447.0, 66.6858
12.910339480, 71.910, 4627.0, 68.0221
12.975538120, 71.910, 4570.0, 67.6018
13.040736760, 71.910, 4660.0, 68.2642
13.105935400, 71.910, 4740.0, 68.8477
13.171134040, 71.910, 4771.0, 69.0724
13.236332680, 71.910, 4744.0, 68.8767
13.301531320, 71.910, 4743.0, 68.8694
13.366729960, 71.910, 4742.0, 68.8622
13.431928600, 71.910, 4704.0, 68.5857
13.497127240, 71.910, 4876.0, 69.8284
13.562325880, 71.910, 4846.0, 69.6132
13.627524520, 71.910, 4830.0, 69.4982
13.692723160, 71.910, 4915.0, 70.1071
13.757921800, 71.910, 4941.0, 70.2922
13.823120440, 71.910, 4991.0, 70.6470
13.888319080, 71.910, 5093.0, 71.3653
13.953517720, 71.910, 5156.0, 71.8053
14.018716360, 71.910, 5154.0, 71.7914
14.083915000, 71.910, 5055.0, 71.0985
14.149113640, 71.910, 5309.0, 72.8629
14.214312280, 71.910, 5316.0, 72.9109
14.279510920, 71.910, 5320.0, 72.9383
14.344709560, 71.910, 5296.0, 72.7736
14.409908200, 71.910, 5294.0, 72.7599
14.475106840, 71.910, 5329.0, 73.0000
14.540305480, 71.910, 5501.0, 74.1687
14.605504120, 71.910, 5498.0, 74.1485
14.670702760, 71.910, 5402.0, 73.4983
14.735901400, 71.910, 5545.0, 74.4648
14.801100040, 71.910, 5716.0, 75.6042
14.866298680, 71.910, 5740.0, 75.7628
14.931497320, 71.910, 5852.0, 76.4984
14.996695960, 71.910, 5838.0, 76.4068
15.061894600, 71.910, 6009.0, 77.5177
15.127093240, 71.910, 5843.0, 76.4395
15.192291880, 71.910, 5856.0, 76.5245
15.257490520, 71.910, 6142.0, 78.3709
15.322689160, 71.910, 6166.0, 78.5239
15.387887800, 71.910, 6373.0, 79.8311
15.453086440, 71.910, 6148.0, 78.4092
15.518285080, 71.910, 6370.0, 79.8123
15.583483720, 71.910, 6411.0, 80.0687
15.648682360, 71.910, 6638.0, 81.4739
15.713881000, 71.910, 6535.0, 80.8393
15.779079640, 71.910, 6625.0, 81.3941
15.844278280, 71.910, 6800.0, 82.4621
15.909476920, 71.910, 6906.0, 83.1023
15.974675560, 71.910, 6901.0, 83.0723
16.039874200, 71.910, 6890.0, 83.0060
16.105072840, 71.910, 7181.0, 84.7408
16.170271480, 71.910, 7125.0, 84.4097
16.235470120, 71.910, 7233.0, 85.0470
16.300668760, 71.910, 7301.0, 85.4459
16.365867400, 71.910, 7416.0, 86.1162
16.431066040, 71.910, 7474.0, 86.4523
16.496264680, 71.910, 7826.0, 88.4647
16.561463320, 71.910, 7667.0, 87.5614
16.626661960, 71.910, 7700.0, 87.7496
16.691860600, 71.910, 7878.0, 88.7581
16.757059240, 71.910, 7801.0, 88.3233
16.822257880, 71.910, 8166.0, 90.3659
16.887456520, 71.910, 8215.0, 90.6366
16.952655160, 71.910, 8026.0, 89.5879
17.017853800, 71.910, 8363.0, 91.4494
17.083052440, 71.910, 8288.0, 91.0385
17.148251080, 71.910, 8678.0, 93.1558
17.213449720, 71.910, 8763.0, 93.6109
17.278648360, 71.910, 8956.0, 94.6361
17.343847000, 71.910, 9007.0, 94.9052
17.409045640, 71.910, 9038.0, 95.0684
17.474244280, 71.910, 9367.0, 96.7833
